date,title,artist,current,previous,peak,weeks
2020-12-26,"Willow","Taylor Swift",1,0,1,1
2020-12-26,"All I Want For Christmas Is You","Mariah Carey",2,1,1,42
2020-12-26,"Rockin' Around The Christmas Tree","Brenda Lee",3,3,2,37
2020-12-26,"Jingle Bell Rock","Bobby Helms",4,5,3,34
2020-12-26,"Mood","24kGoldn Featuring iann dior",5,2,1,19
2020-12-26,"A Holly Jolly Christmas","Burl Ives",6,14,4,18
2020-12-26,"It's The Most Wonderful Time Of The Year","Andy Williams",7,6,6,19
2020-12-26,"Positions","Ariana Grande",8,4,1,8
2020-12-26,"Dynamite","BTS",9,24,1,17
2020-12-26,"Feliz Navidad","Jose Feliciano",10,10,10,13
2020-12-26,"Let It Snow, Let It Snow, Let It Snow","Dean Martin",11,15,11,12
2020-12-26,"It's Beginning To Look A Lot Like Christmas","Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra",12,35,12,7
2020-12-26,"Holy","Justin Bieber Featuring Chance The Rapper",13,9,3,13
2020-12-26,"Last Christmas","Wham!",14,11,11,18
2020-12-26,"The Christmas Song (Merry Christmas To You)","Nat King Cole",15,16,11,25
2020-12-26,"Go Crazy","Chris Brown & Young Thug",16,13,9,32
2020-12-26,"Laugh Now Cry Later","Drake Featuring Lil Durk",17,8,2,18
2020-12-26,"Blinding Lights","The Weeknd",18,7,1,55
2020-12-26,"Sleigh Ride","The Ronettes",19,20,19,10
2020-12-26,"I Hope","Gabby Barrett Featuring Charlie Puth",20,12,3,51
2020-12-26,"Champagne Problems","Taylor Swift",21,0,21,1
2020-12-26,"Body","Megan Thee Stallion",22,18,12,4
2020-12-26,"Dakiti","Bad Bunny & Jhay Cortez",23,17,5,7
2020-12-26,"Lemonade","Internet Money & Gunna Featuring Don Toliver & NAV",24,19,6,18
2020-12-26,"For The Night","Pop Smoke Featuring Lil Baby & DaBaby",25,21,6,24
2020-12-26,"Happy Holiday / The Holiday Season","Andy Williams",26,29,24,7
2020-12-26,"Levitating","Dua Lipa Featuring DaBaby",27,27,20,11
2020-12-26,"Underneath The Tree","Kelly Clarkson",28,25,25,8
2020-12-26,"Run Rudolph Run","Chuck Berry",29,40,29,7
2020-12-26,"Kings & Queens","Ava Max",30,22,13,19
2020-12-26,"Rudolph The Red-Nosed Reindeer","Gene Autry",31,34,16,11
2020-12-26,"Santa Tell Me","Ariana Grande",32,39,32,7
2020-12-26,"Bang!","AJR",33,28,24,24
2020-12-26,"No Body, No Crime","Taylor Swift Featuring HAIM",34,0,34,1
2020-12-26,"34+35","Ariana Grande",35,26,8,7
2020-12-26,"Therefore I Am","Billie Eilish",36,23,2,6
2020-12-26,"Christmas (Baby Please Come Home)","Darlene Love",37,31,29,6
2020-12-26,"White Christmas","Bing Crosby",38,32,12,19
2020-12-26,"'Tis The Damn Season","Taylor Swift",39,0,39,1
2020-12-26,"Gold Rush","Taylor Swift",40,0,40,1
2020-12-26,"Tequila Shots","Kid Cudi",41,0,41,1
2020-12-26,"It's Beginning To Look A Lot Like Christmas","Michael Buble",42,33,33,4
2020-12-26,"(There's No Place Like) Home For The Holidays","Perry Como",43,37,32,6
2020-12-26,"Whats Poppin","Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",44,47,2,45
2020-12-26,"Tolerate It","Taylor Swift",45,0,45,1
2020-12-26,"Wonderful Christmastime","Paul McCartney",46,45,45,3
2020-12-26,"Deck The Halls","Nat King Cole",47,0,47,1
2020-12-26,"What You Know Bout Love","Pop Smoke",48,46,25,15
2020-12-26,"She Knows This","Kid Cudi",49,0,49,1
2020-12-26,"Rockstar","DaBaby Featuring Roddy Ricch",50,42,1,35
2020-12-26,"Lonely","Justin Bieber & benny blanco",51,50,14,9
2020-12-26,"Happiness","Taylor Swift",52,0,52,1
2020-12-26,"Whoopty","CJ",53,51,51,6
2020-12-26,"Show Out","Kid Cudi, Skepta & Pop Smoke",54,0,54,1
2020-12-26,"WAP","Cardi B Featuring Megan Thee Stallion",55,43,1,19
2020-12-26,"Holiday","Lil Nas X",56,48,37,5
2020-12-26,"Evermore","Taylor Swift Featuring Bon Iver",57,0,57,1
2020-12-26,"Take Me Home For Christmas","Dan + Shay",58,88,58,2
2020-12-26,"Better Together","Luke Combs",59,54,30,11
2020-12-26,"On Me","Lil Baby",60,30,30,2
2020-12-26,"Ivy","Taylor Swift",61,0,61,1
2020-12-26,"Monster","Shawn Mendes & Justin Bieber",62,38,8,4
2020-12-26,"Coney Island","Taylor Swift Featuring The National",63,0,63,1
2020-12-26,"Another Day","Kid Cudi",64,0,64,1
2020-12-26,"Hawai","Maluma & The Weeknd",65,55,12,17
2020-12-26,"Diamonds","Sam Smith",66,53,40,13
2020-12-26,"Dorothea","Taylor Swift",67,0,67,1
2020-12-26,"Long Story Short","Taylor Swift",68,0,68,1
2020-12-26,"Here Comes Santa Claus (Right Down Santa Claus Lane)","Gene Autry",69,36,28,9
2020-12-26,"I Should Probably Go To Bed","Dan + Shay",70,60,42,20
2020-12-26,"Cowboy Like Me","Taylor Swift",71,0,71,1
2020-12-26,"Starting Over","Chris Stapleton",72,58,25,16
2020-12-26,"Big, Big Plans","Chris Lane",73,52,42,11
2020-12-26,"Way Out","Jack Harlow Featuring Big Sean",74,0,74,1
2020-12-26,"Marjorie","Taylor Swift",75,0,75,1
2020-12-26,"B.S.","Jhene Aiko Featuring H.E.R.",76,62,24,20
2020-12-26,"Tyler Herro","Jack Harlow",77,77,34,8
2020-12-26,"Mr. Solo Dolo III","Kid Cudi",78,0,78,1
2020-12-26,"You Broke Me First.","Tate McRae",79,64,50,17
2020-12-26,"Dive","Kid Cudi",80,0,80,1
2020-12-26,"Without You","The Kid LAROI",81,63,63,2
2020-12-26,"Closure","Taylor Swift",82,0,82,1
2020-12-26,"Love You Like I Used To","Russell Dickerson",83,61,31,15
2020-12-26,"Hallelujah","Carrie Underwood & John Legend",84,96,84,2
2020-12-26,"Heaven On Earth","Kid Cudi",85,0,85,1
2020-12-26,"My Ex's Best Friend","Machine Gun Kelly X blackbear",86,67,28,18
2020-12-26,"Rockin' Around The Christmas Tree","Justin Bieber",87,71,71,3
2020-12-26,"Mr. Right Now","21 Savage & Metro Boomin Featuring Drake",88,65,10,11
2020-12-26,"Reminds Me Of You","The Kid LAROI & Juice WRLD",89,0,89,1
2020-12-26,"Sad People","Kid Cudi",90,0,90,1
2020-12-26,"Damaged","Kid Cudi",91,0,91,1
2020-12-26,"Forever After All","Luke Combs",92,66,2,8
2020-12-26,"Ain't Always The Cowboy","Jon Pardi",93,56,55,16
2020-12-26,"Prisoner","Miley Cyrus Featuring Dua Lipa",94,68,54,4
2020-12-26,"Cry Baby","Megan Thee Stallion Featuring DaBaby",95,0,71,2
2020-12-26,"Good Time","Niko Moon",96,79,71,11
2020-12-26,"Throat Baby (Go Baby)","BRS Kash",97,81,69,9
2020-12-26,"Errbody","Lil Baby",98,41,41,2
2020-12-26,"Favorite Time Of Year","Carrie Underwood",99,80,80,3
2020-12-26,"Beautiful Trip","Kid Cudi",100,0,100,1
2020-12-19,"All I Want For Christmas Is You","Mariah Carey",1,2,1,41
2020-12-19,"Mood","24kGoldn Featuring iann dior",2,1,1,18
2020-12-19,"Rockin' Around The Christmas Tree","Brenda Lee",3,4,2,36
2020-12-19,"Positions","Ariana Grande",4,3,1,7
2020-12-19,"Jingle Bell Rock","Bobby Helms",5,9,3,33
2020-12-19,"It's The Most Wonderful Time Of The Year","Andy Williams",6,12,6,18
2020-12-19,"Blinding Lights","The Weeknd",7,11,1,54
2020-12-19,"Laugh Now Cry Later","Drake Featuring Lil Durk",8,6,2,17
2020-12-19,"Holy","Justin Bieber Featuring Chance The Rapper",9,7,3,12
2020-12-19,"Feliz Navidad","Jose Feliciano",10,16,10,12
2020-12-19,"Last Christmas","Wham!",11,21,11,17
2020-12-19,"I Hope","Gabby Barrett Featuring Charlie Puth",12,8,3,50
2020-12-19,"Go Crazy","Chris Brown & Young Thug",13,15,9,31
2020-12-19,"A Holly Jolly Christmas","Burl Ives",14,24,4,17
2020-12-19,"Let It Snow, Let It Snow, Let It Snow","Dean Martin",15,22,15,11
2020-12-19,"The Christmas Song (Merry Christmas To You)","Nat King Cole",16,18,11,24
2020-12-19,"Dakiti","Bad Bunny & Jhay Cortez",17,5,5,6
2020-12-19,"Body","Megan Thee Stallion",18,14,12,3
2020-12-19,"Lemonade","Internet Money & Gunna Featuring Don Toliver & NAV",19,13,6,17
2020-12-19,"Sleigh Ride","The Ronettes",20,23,20,9
2020-12-19,"For The Night","Pop Smoke Featuring Lil Baby & DaBaby",21,17,6,23
2020-12-19,"Kings & Queens","Ava Max",22,19,13,18
2020-12-19,"Therefore I Am","Billie Eilish",23,20,2,5
2020-12-19,"Dynamite","BTS",24,10,1,16
2020-12-19,"Underneath The Tree","Kelly Clarkson",25,30,25,7
2020-12-19,"34+35","Ariana Grande",26,25,8,6
2020-12-19,"Levitating","Dua Lipa Featuring DaBaby",27,26,20,10
2020-12-19,"Bang!","AJR",28,27,24,23
2020-12-19,"Happy Holiday / The Holiday Season","Andy Williams",29,34,24,6
2020-12-19,"On Me","Lil Baby",30,0,30,1
2020-12-19,"Christmas (Baby Please Come Home)","Darlene Love",31,41,29,5
2020-12-19,"White Christmas","Bing Crosby",32,37,12,18
2020-12-19,"It's Beginning To Look A Lot Like Christmas","Michael Buble",33,39,33,3
2020-12-19,"Rudolph The Red-Nosed Reindeer","Gene Autry",34,40,16,10
2020-12-19,"It's Beginning To Look A Lot Like Christmas","Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra",35,45,28,6
2020-12-19,"Here Comes Santa Claus (Right Down Santa Claus Lane)","Gene Autry",36,36,28,8
2020-12-19,"(There's No Place Like) Home For The Holidays","Perry Como",37,47,32,5
2020-12-19,"Monster","Shawn Mendes & Justin Bieber",38,38,8,3
2020-12-19,"Santa Tell Me","Ariana Grande",39,0,39,6
2020-12-19,"Run Rudolph Run","Chuck Berry",40,0,36,6
2020-12-19,"Errbody","Lil Baby",41,0,41,1
2020-12-19,"Rockstar","DaBaby Featuring Roddy Ricch",42,35,1,34
