date,title,artist,current,previous,peak,weeks,new
2011-12-31,"Christmas","Michael Buble",1,1,1,8,False
2011-12-31,"21","Adele",2,3,1,43,False
2011-12-31,"Under The Mistletoe","Justin Bieber",3,4,1,7,False
2011-12-31,"El Camino","The Black Keys",4,2,2,2,False
2011-12-31,"Own The Night","Lady Antebellum",5,15,1,14,False
2011-12-31,"Here And Now","Nickelback",6,8,2,4,False
2011-12-31,"Take Care","Drake",7,7,1,5,False
2011-12-31,"Concerto: One Night In Central Park","Andrea Bocelli",8,6,4,5,False
2011-12-31,"Clear As Day","Scotty McCreery",9,13,1,11,False
2011-12-31,"Lioness: Hidden Treasures","Amy Winehouse",10,5,5,2,False
2011-12-31,"NOW 40","Various Artists",11,14,3,6,False
2011-12-31,"Back To Love","Anthony Hamilton",12,0,12,1,True
2011-12-31,"Glee: The Music, The Christmas Album: Volume 2","Soundtrack",13,19,6,5,False
2011-12-31,"Talk That Talk","Rihanna",14,12,3,4,False
2011-12-31,"A Very She & Him Christmas","She & Him",15,18,12,8,False
2011-12-31,"My Kinda Party","Jason Aldean",16,26,2,59,False
2011-12-31,"Someone To Watch Over Me","Susan Boyle",17,23,4,7,False
2011-12-31,"Heavenly Christmas","Jackie Evancho",18,11,11,7,False
2011-12-31,"My Christmas","Andrea Bocelli",19,16,2,26,False
2011-12-31,"Mylo Xyloto","Coldplay",20,31,1,8,False
2011-12-31,"Speak Now: World Tour Live CD + DVD","Taylor Swift",21,30,11,4,False
2011-12-31,"19","Adele",22,32,10,113,False
2011-12-31,"A Charlie Brown Christmas (Soundtrack)","Vince Guaraldi Trio",23,27,23,20,False
2011-12-31,"Sorry For Party Rocking","LMFAO",24,37,12,26,False
2011-12-31,"Duets II","Tony Bennett",25,35,1,13,False
2011-12-31,"My Life II...The Journey Continues (Act 1)","Mary J. Blige",26,21,5,4,False
2011-12-31,"Break The Spell","Daughtry",27,29,8,4,False
2011-12-31,"Clancy's Tavern","Toby Keith",28,34,5,8,False
2011-12-31,"Mac + Devin Go To High School (Soundtrack)","Snoop Dogg & Wiz Khalifa",29,0,29,1,True
2011-12-31,"Speak Now","Taylor Swift",30,39,1,60,False
2011-12-31,"Tailgates & Tanlines","Luke Bryan",31,41,2,19,False
2011-12-31,"Beyond Magnetic (EP)","Metallica",32,0,32,1,True
2011-12-31,"The Band Perry","The Band Perry",33,40,4,62,False
2011-12-31,"The Twilight Saga: Breaking Dawn: Part 1","Soundtrack",34,38,4,6,False
2011-12-31,"Born This Way","Lady Gaga",35,44,1,30,False
2011-12-31,"Noel","Josh Groban",36,25,1,35,False
2011-12-31,"Glee: The Music, Season 3: Volume 7","Soundtrack",37,9,9,2,False
2011-12-31,"Ceremonials","Florence + The Machine",38,43,6,7,False
2011-12-31,"Four The Record","Miranda Lambert",39,47,3,7,False
2011-12-31,"The Gift","Susan Boyle",40,33,1,20,False
2011-12-31,"Christmas Symphony","Mannheim Streamroller/Czech Philharmonic Orchestra",41,24,19,9,False
2011-12-31,"Glory In The Highest: Christmas Songs Of Worship","Chris Tomlin",42,36,19,29,False
2011-12-31,"Tha Carter IV","Lil Wayne",43,48,1,16,False
2011-12-31,"Stronger","Kelly Clarkson",44,49,2,8,False
2011-12-31,"Ultimate Hits: Rock And Roll Never Forgets","Bob Seger & The Silver Bullet Band",45,42,19,4,False
2011-12-31,"The Path Of Totality","Korn",46,10,10,2,False
2011-12-31,"When The Sun Goes Down","Selena Gomez & The Scene",47,50,3,25,False
2011-12-31,"Teenage Dream","Katy Perry",48,62,1,69,False
2011-12-31,"Hands All Over","Maroon 5",49,53,2,61,False
2011-12-31,"Torches","Foster The People",50,56,8,30,False
2011-12-31,"Elevate (Soundtrack)","Big Time Rush",51,51,12,4,False
2011-12-31,"NOW That's What I Call Christmas! 4","Various Artists",52,45,28,17,False
2011-12-31,"Come To The Well","Casting Crowns",53,57,2,9,False
2011-12-31,"WOW Hits 2012","Various Artists",54,59,35,12,False
2011-12-31,"A Holiday Carole","Carole King",55,58,52,7,False
2011-12-31,"Watch The Throne","Jay Z Kanye West",56,52,1,19,False
2011-12-31,"Dream With Me","Jackie Evancho",57,55,2,27,False
2011-12-31,"The Very Best Of Neil Diamond: The Studio Recordings","Neil Diamond",58,46,46,2,False
2011-12-31,"Sigh No More","Mumford & Sons",59,64,2,91,False
2011-12-31,"Doo-Wops & Hooligans","Bruno Mars",60,76,3,63,False
2011-12-31,"You Get What You Give","Zac Brown Band",61,78,1,65,False
2011-12-31,"That's Life","Landau Eugene Murphy, Jr.",62,54,34,4,False
2011-12-31,"Chief","Eric Church",63,80,1,21,False
2011-12-31,"4","Beyonce",64,70,1,25,False
2011-12-31,"My World 2.0","Justin Bieber",65,73,1,91,False
2011-12-31,"Immortal","Michael Jackson",66,63,24,4,False
2011-12-31,"The Essential NOW That's What I Call Christmas","Various Artists",67,65,30,27,False
2011-12-31,"Love After War","Robin Thicke",68,22,22,2,False
2011-12-31,"Red River Blue","Blake Shelton",69,79,1,23,False
2011-12-31,"Undun","The Roots",70,17,17,2,False
2011-12-31,"The Lost Christmas Eve","Trans-Siberian Orchestra",71,66,26,31,False
2011-12-31,"It's Christmas Time","Elvis Presley",72,60,60,18,False
2011-12-31,"#1 Girl","Mindless Behavior",73,115,7,13,False
2011-12-31,"O Holy Night (EP)","Jackie Evancho",74,61,2,15,False
2011-12-31,"NOW 39","Various Artists",75,84,3,19,False
2011-12-31,"Sinatra: Best Of The Best","Frank Sinatra",76,83,23,5,False
2011-12-31,"Hats Off To The Bull","Chevelle",77,20,20,2,False
2011-12-31,"Christmas Eve And Other Stories","Trans-Siberian Orchestra",78,77,53,21,False
2011-12-31,"Halfway To Heaven","Brantley Gilbert",79,91,4,18,False
2011-12-31,"Alvin And The Chipmunks: Chipwrecked","Soundtrack",80,134,80,4,False
2011-12-31,"Wicked Game","Il Divo",81,75,10,6,False
2011-12-31,"The Taylor Swift Holiday Collection (EP)","Taylor Swift",82,82,20,29,False
2011-12-31,"WOW Christmas: 32 Christian Artists And Holiday Songs","Various Artists",83,72,61,9,False
2011-12-31,"Need You Now","Lady Antebellum",84,107,1,99,False
2011-12-31,"Shake It Up: Break It Down","Soundtrack",85,93,22,23,False
2011-12-31,"Glee: The Music, The Christmas Album","Soundtrack",86,71,3,14,False
2011-12-31,"Merry Christmas","Mariah Carey",87,74,3,29,False
2011-12-31,"Let It Snow","Various Artists",88,81,45,5,False
2011-12-31,"This Is Country Music","Brad Paisley",89,118,2,30,False
2011-12-31,"American Capitalist","Five Finger Death Punch",90,86,3,10,False
2011-12-31,"The Classic Christmas Album","Tony Bennett",91,102,91,4,False
2011-12-31,"Hell On Heels","Pistol Annies",92,85,5,17,False
2011-12-31,"rEVOLVEr","T-Pain",93,28,28,2,False
2011-12-31,"Elvis Christmas","Elvis Presley",94,68,68,25,False
2011-12-31,"How Great Is Our God: The Essential Collection","Chris Tomlin",95,110,40,5,False
2011-12-31,"Cole World: The Sideline Story","J. Cole",96,87,1,12,False
2011-12-31,"The Muppets","Soundtrack",97,67,38,4,False
2011-12-31,"Positively Christmas","Various Artists",98,99,46,7,False
2011-12-31,"Here For A Good Time","George Strait",99,117,3,15,False
2011-12-31,"Wildflower","Lauren Alaina",100,105,5,10,False
2011-12-31,"Evanescence","Evanescence",101,101,1,10,False
2011-12-31,"Never Say Never: The Remixes (EP)","Justin Bieber",102,114,1,36,False
2011-12-31,"Pink Friday","Nicki Minaj",103,109,1,56,False
2011-12-31,"Open Invitation","Tyrese",104,95,9,7,False
2011-12-31,"Lungs","Florence + The Machine",105,112,14,81,False
2011-12-31,"Ambition","Wale",106,96,2,7,False
