chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2025-11-08,1,The Fate Of Ophelia,Taylor Swift,1,1,4
2025-11-08,2,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",2,1,19
2025-11-08,3,Ordinary,Alex Warren,3,1,38
2025-11-08,4,Opalite,Taylor Swift,4,2,4
2025-11-08,5,Man I Need,Olivia Dean,8,5,10
2025-11-08,6,Daisies,Justin Bieber,7,2,16
2025-11-08,7,Folded,Kehlani,14,7,20
2025-11-08,8,Elizabeth Taylor,Taylor Swift,5,3,4
2025-11-08,9,I Got Better,Morgan Wallen,9,7,24
2025-11-08,10,Mutt,Leon Thomas,10,10,39
2025-11-08,11,Father Figure,Taylor Swift,6,4,4
2025-11-08,12,Back To Friends,sombr,18,12,31
2025-11-08,13,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",17,4,19
2025-11-08,14,Wi$h Li$t,Taylor Swift,11,6,4
2025-11-08,15,What I Want,Morgan Wallen Featuring Tate McRae,21,1,24
2025-11-08,16,Manchild,Sabrina Carpenter,25,1,21
2025-11-08,17,Love Me Not,Ravyn Lenae,24,5,31
2025-11-08,18,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",23,3,18
2025-11-08,19,It Depends,Chris Brown Featuring Bryson Tiller,16,16,14
2025-11-08,20,Tears,Sabrina Carpenter,27,3,9
2025-11-08,21,The Life Of A Showgirl,Taylor Swift Featuring Sabrina Carpenter,12,8,4
2025-11-08,22,Back In The Saddle,Luke Combs,32,22,14
2025-11-08,23,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",28,8,18
2025-11-08,24,Wood,Taylor Swift,13,5,4
2025-11-08,25,Actually Romantic,Taylor Swift,15,7,4
2025-11-08,26,Mystical Magical,Benson Boone,30,17,27
2025-11-08,27,Tit For Tat,Tate McRae,29,3,5
2025-11-08,28,Cancelled!,Taylor Swift,19,10,4
2025-11-08,29,Eldest Daughter,Taylor Swift,20,9,4
