date,title,artist,current,previous,peak,weeks
2020-01-18,"The Box","Roddy Ricch",1,3,1,5
2020-01-18,"Yummy","Justin Bieber",2,0,2,1
2020-01-18,"Circles","Post Malone",3,1,1,19
2020-01-18,"Memories","Maroon 5",4,2,2,16
2020-01-18,"10,000 Hours","Dan + Shay & Justin Bieber",5,9,4,14
2020-01-18,"Someone You Loved","Lewis Capaldi",6,4,1,35
2020-01-18,"Dance Monkey","Tones And I",7,7,7,14
2020-01-18,"Good As Hell","Lizzo",8,6,3,20
2020-01-18,"Roxanne","Arizona Zervas",9,5,4,10
2020-01-18,"Lose You To Love Me","Selena Gomez",10,10,1,12
2020-01-18,"Ballin'","Mustard Featuring Roddy Ricch",11,12,11,25
2020-01-18,"BOP","DaBaby",12,13,11,15
2020-01-18,"HIGHEST IN THE ROOM","Travis Scott",13,8,1,14
2020-01-18,"Don't Start Now","Dua Lipa",14,21,14,10
2020-01-18,"No Guidance","Chris Brown Featuring Drake",15,16,5,31
2020-01-18,"Trampoline","SHAED",16,19,13,32
2020-01-18,"Heartless","The Weeknd",17,20,1,7
2020-01-18,"Senorita","Shawn Mendes & Camila Cabello",18,11,1,29
2020-01-18,"everything i wanted","Billie Eilish",19,23,8,9
2020-01-18,"Truth Hurts","Lizzo",20,18,1,36
2020-01-18,"Hot","Young Thug Featuring Gunna",21,24,11,21
2020-01-18,"Woah","Lil Baby",22,27,16,9
2020-01-18,"Panini","Lil Nas X",23,17,5,29
2020-01-18,"Adore You","Harry Styles",24,35,24,5
2020-01-18,"Only Human","Jonas Brothers",25,25,18,29
2020-01-18,"The Bones","Maren Morris",26,36,26,16
2020-01-18,"One Man Band","Old Dominion",27,26,20,20
2020-01-18,"Bandit","Juice WRLD & YoungBoy Never Broke Again",28,22,10,14
2020-01-18,"Hot Girl Bummer","blackbear",29,32,29,17
2020-01-18,"Futsal Shuffle 2020","Lil Uzi Vert",30,44,5,4
2020-01-18,"Even Though I'm Leaving","Luke Combs",31,30,11,19
2020-01-18,"I Don't Care","Ed Sheeran & Justin Bieber",32,28,2,32
2020-01-18,"Bad Guy","Billie Eilish",33,14,1,41
2020-01-18,"Sucker","Jonas Brothers",34,29,1,40
2020-01-18,"High Fashion","Roddy Ricch Featuring Mustard",35,70,35,2
2020-01-18,"Lover","Taylor Swift",36,34,10,21
2020-01-18,"On Chill","Wale Featuring Jeremih",37,39,22,22
2020-01-18,"Falling","Trevor Daniel",38,31,31,8
2020-01-18,"Blinding Lights","The Weeknd",39,59,11,6
2020-01-18,"What If I Never Get Over You","Lady Antebellum",40,49,40,20
2020-01-18,"Suicidal","YNW Melly",41,41,41,7
2020-01-18,"Talk","Khalid",42,40,3,45
2020-01-18,"Graveyard","Halsey",43,37,34,17
2020-01-18,"My Oh My","Camila Cabello Featuring DaBaby",44,50,44,5
2020-01-18,"Beautiful People","Ed Sheeran Featuring Khalid",45,42,13,26
2020-01-18,"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus",46,15,1,45
2020-01-18,"Ridin' Roads","Dustin Lynch",47,51,47,10
2020-01-18,"Juicy","Doja Cat & Tyga",48,45,45,11
2020-01-18,"Playing Games","Summer Walker",49,54,16,19
2020-01-18,"Suge","DaBaby",50,43,7,37
2020-01-18,"Heartache Medication","Jon Pardi",51,58,51,15
2020-01-18,"OUT WEST","JACKBOYS Featuring Young Thug",52,38,38,2
2020-01-18,"VIBEZ","DaBaby",53,57,21,15
2020-01-18,"Kinfolks","Sam Hunt",54,60,54,13
2020-01-18,"Heat","Chris Brown Featuring Gunna",55,53,36,19
2020-01-18,"Start Wit Me","Roddy Ricch & Gunna",56,68,56,8
2020-01-18,"Into The Unknown","Idina Menzel & AURORA",57,55,46,7
2020-01-18,"No Idea","Don Toliver",58,46,43,6
2020-01-18,"Heart On Ice","Rod Wave",59,62,54,9
2020-01-18,"U Played","MoneyBagg Yo Featuring Lil Baby",60,0,60,1
2020-01-18,"South Of The Border","Ed Sheeran Featuring Camila Cabello & Cardi B",61,72,53,5
2020-01-18,"TOES","DaBaby Featuring Lil Baby & Moneybagg Yo",62,71,28,6
2020-01-18,"Homesick","Kane Brown",63,64,63,8
2020-01-18,"Remember You Young","Thomas Rhett",64,61,53,17
2020-01-18,"I Hope","Gabby Barrett",65,74,65,2
2020-01-18,"Take What You Want","Post Malone Featuring Ozzy Osbourne & Travis Scott",66,63,8,18
2020-01-18,"Slide","H.E.R. Featuring YG",67,73,67,3
2020-01-18,"RITMO (Bad Boys For Life)","The Black Eyed Peas X J Balvin",68,66,66,7
2020-01-18,"BEST ON EARTH","Russ & BIA",69,81,69,5
2020-01-18,"SUGAR","BrockHampton",70,0,70,1
2020-01-18,"GANG GANG","JACKBOYS & Sheck Wes",71,48,48,2
2020-01-18,"Camelot","NLE Choppa",72,65,37,17
2020-01-18,"Leave Em Alone","Layton Greene, Lil Baby, City Girls & PnB Rock",73,67,60,14
2020-01-18,"We Back","Jason Aldean",74,77,74,6
2020-01-18,"What She Wants Tonight","Luke Bryan",75,86,75,3
2020-01-18,"HAD ENOUGH","Don Toliver Featuring Quavo & Offset",76,52,52,2
