date,title,artist,current,previous,peak,weeks,new
2001-12-29,"Weathered","Creed",1,1,1,4,False
2001-12-29,"Now 8","Various Artists",2,2,2,4,False
2001-12-29,"Britney","Britney Spears",3,4,1,6,False
2001-12-29,"Scarecrow","Garth Brooks",4,6,1,5,False
2001-12-29,"Christmas Extraordinaire","Mannheim Steamroller",5,5,5,7,False
2001-12-29,"NOW That's What I Call Christmas!","Various Artists",6,3,3,8,False
2001-12-29,"Silver Side Up","Nickelback",7,9,2,14,False
2001-12-29,"A Day Without Rain","Enya",8,7,2,56,False
2001-12-29,"Rock Steady","No Doubt",9,0,9,1,True
2001-12-29,"[Hybrid Theory]","Linkin Park",10,11,7,60,False
2001-12-29,"8701","Usher",11,12,4,19,False
2001-12-29,"M!ssundaztood","P!nk",12,10,8,4,False
2001-12-29,"Escape","Enrique Iglesias",13,13,2,7,False
2001-12-29,"Word Of Mouf","Ludacris",14,8,3,3,False
2001-12-29,"Laundry Service","Shakira",15,14,3,5,False
2001-12-29,"O Brother, Where Art Thou?","Soundtrack",16,20,11,51,False
2001-12-29,"The Hits -- Chapter One","Backstreet Boys",17,18,4,7,False
2001-12-29,"Echoes: The Best Of Pink Floyd","Pink Floyd",18,16,2,6,False
2001-12-29,"Songs In A Minor","Alicia Keys",19,23,1,25,False
2001-12-29,"Celebrity","'N Sync",20,22,1,21,False
2001-12-29,"Pain Is Love","Ja Rule",21,19,1,11,False
2001-12-29,"Infamy","Mobb Deep",22,0,22,1,True
2001-12-29,"This Way","Jewel",23,27,9,5,False
2001-12-29,"Christmas Memories","Barbra Streisand",24,15,15,7,False
2001-12-29,"America: A Tribute To Heroes","Various Artists",25,17,17,2,False
2001-12-29,"Cieli Di Toscana","Andrea Bocelli",26,29,11,9,False
2001-12-29,"Cocky","Kid Rock",27,24,7,4,False
2001-12-29,"Invincible","Michael Jackson",28,25,1,7,False
2001-12-29,"Pull My Chain","Toby Keith",29,30,9,16,False
2001-12-29,"GHV2: Greatest Hits Volume 2","Madonna",30,28,7,5,False
2001-12-29,"Satellite","P.O.D.",31,35,6,14,False
2001-12-29,"Better Days","Joe",32,0,32,1,True
2001-12-29,"Genesis","Busta Rhymes",33,21,7,3,False
2001-12-29,"Shrek","Soundtrack",34,33,28,31,False
2001-12-29,"Big Boi & Dre Present... OutKast","OutKast",35,31,31,2,False
2001-12-29,"Morning View","Incubus",36,38,2,8,False
2001-12-29,"New Old Songs (Re-Mix)","Limp Bizkit",37,26,26,2,False
2001-12-29,"Totally Hits 2001","Various Artists",38,36,3,12,False
2001-12-29,"No More Drama","Mary J. Blige",39,42,2,16,False
2001-12-29,"Break The Cycle","Staind",40,44,1,30,False
2001-12-29,"Oh Aaron","Aaron Carter",41,47,7,19,False
2001-12-29,"The Concert For New York City","Various Artists",42,39,27,3,False
2001-12-29,"How High","Soundtrack",43,0,43,1,True
2001-12-29,"Now 7","Various Artists",44,41,1,20,False
2001-12-29,"Come Clean","Puddle Of Mudd",45,49,10,16,False
2001-12-29,"... All This Time","Sting",46,40,32,4,False
2001-12-29,"8 Days Of Christmas","Destiny's Child",47,34,34,7,False
2001-12-29,"Whoa, Nelly!","Nelly Furtado",48,56,24,51,False
2001-12-29,"Toxicity","System Of A Down",49,51,1,15,False
2001-12-29,"Survivor","Destiny's Child",50,53,1,33,False
2001-12-29,"Enchantment","Charlotte Church",51,46,15,10,False
2001-12-29,"J.Lo","Jennifer Lopez",52,55,1,47,False
2001-12-29,"The Look Of Love","Diana Krall",53,67,9,13,False
2001-12-29,"The Great Depression","DMX",54,45,1,8,False
2001-12-29,"ANThology","Alien Ant Farm",55,60,11,41,False
2001-12-29,"The Road Less Traveled","George Strait",56,62,9,6,False
2001-12-29,"God Bless America","Various Artists",57,50,1,9,False
2001-12-29,"1","The Beatles",58,57,1,57,False
2001-12-29,"Aaliyah","Aaliyah",59,58,1,22,False
2001-12-29,"WOW Hits 2002","Various Artists",60,65,52,8,False
2001-12-29,"Lenny","Lenny Kravitz",61,71,12,7,False
2001-12-29,"The Blueprint","JAY-Z",62,59,1,14,False
2001-12-29,"Harry Potter And The Sorcerer's Stone","Soundtrack",63,63,48,7,False
2001-12-29,"Music & Me","Nate Dogg",64,32,32,2,False
2001-12-29,"Believe","Yolanda Adams",65,43,43,2,False
2001-12-29,"The Sinister Urge","Rob Zombie",66,61,8,5,False
2001-12-29,"Their Greatest Hits--The Record","Bee Gees",67,69,49,4,False
2001-12-29,"International Superhits!","Green Day",68,72,40,5,False
2001-12-29,"All That You Can't Leave Behind","U2",69,76,3,59,False
2001-12-29,"J.O.S.E. : Jealous Ones Still Envy","Fat Joe",70,37,37,2,False
2001-12-29,"Diary Of A Sinner: 1st Entry","Petey Pablo",71,70,13,6,False
2001-12-29,"All Killer No Filler","Sum 41",72,83,13,32,False
2001-12-29,"Smash Mouth","Smash Mouth",73,68,48,3,False
2001-12-29,"Greatest Hits","Mariah Carey",74,52,52,2,False
2001-12-29,"Greatest Hits","Martina McBride",75,79,5,13,False
2001-12-29,"Set This Circus Down","Tim McGraw",76,81,2,34,False
2001-12-29,"Disc One 1991-2001: All Their Greatest Hits","Barenaked Ladies",77,73,38,5,False
2001-12-29,"The Very Best Of Rod Stewart","Rod Stewart",78,80,69,5,False
2001-12-29,"Born To Do It","Craig David",79,96,11,22,False
2001-12-29,"The Time-Life Treasury Of Christmas","Various Artists",80,66,65,6,False
2001-12-29,"{Rotten Apples} Greatest Hits","The Smashing Pumpkins",81,74,31,4,False
2001-12-29,"Classics","Sarah Brightman",82,86,77,4,False
2001-12-29,"Worship","Michael W. Smith",83,84,20,14,False
