chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2022-01-15,1,Easy On Me,Adele,2,1,13
2022-01-15,2,Stay,The Kid LAROI & Justin Bieber,6,1,26
2022-01-15,3,Heat Waves,Glass Animals,7,3,51
2022-01-15,4,Shivers,Ed Sheeran,9,4,17
2022-01-15,5,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",50,5,2
2022-01-15,6,Industry Baby,Lil Nas X & Jack Harlow,12,1,24
2022-01-15,7,Cold Heart (PNAU Remix),Elton John & Dua Lipa,20,7,18
2022-01-15,8,Bad Habits,Ed Sheeran,19,2,28
2022-01-15,9,Need To Know,Doja Cat,14,8,30
2022-01-15,10,Super Gremlin,Kodak Black,16,10,9
2022-01-15,11,abcdefu,GAYLE,17,11,7
2022-01-15,12,Levitating,Dua Lipa,-,2,61
2022-01-15,13,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),28,5,9
2022-01-15,14,Surface Pressure,Jessica Darrow,54,14,2
2022-01-15,15,Good 4 U,Olivia Rodrigo,31,1,34
2022-01-15,16,Fancy Like,Walker Hayes,33,3,29
2022-01-15,17,Ghost,Justin Bieber,32,17,15
2022-01-15,18,Save Your Tears,The Weeknd & Ariana Grande,-,1,53
2022-01-15,19,Kiss Me More,Doja Cat Featuring SZA,38,3,38
2022-01-15,20,Thats What I Want,Lil Nas X,35,10,16
2022-01-15,21,Essence,Wizkid Featuring Justin Bieber & Tems,36,9,26
2022-01-15,22,One Right Now,Post Malone & The Weeknd,39,6,9
2022-01-15,23,Better Days,NEIKED X Mae Muller X Polo G,46,23,12
2022-01-15,24,Oh My God,Adele,40,5,7
2022-01-15,25,You Right,Doja Cat & The Weeknd,42,11,27
2022-01-15,26,Happier Than Ever,Billie Eilish,43,11,23
2022-01-15,27,Broadway Girls,Lil Durk Featuring Morgan Wallen,30,14,3
2022-01-15,28,Buy Dirt,Jordan Davis Featuring Luke Bryan,51,28,22
2022-01-15,29,Love Nwantiti (Ah Ah Ah),CKay,48,29,16
2022-01-15,30,I Hate U,SZA,49,7,5
2022-01-15,31,Knife Talk,Drake Featuring 21 Savage & Project Pat,52,4,18
2022-01-15,32,You Should Probably Leave,Chris Stapleton,55,32,27
2022-01-15,33,Way 2 Sexy,Drake Featuring Future & Young Thug,53,1,18
2022-01-15,34,Hrs And Hrs,Muni Long,83,34,2
2022-01-15,35,If I Didn't Love You,Jason Aldean & Carrie Underwood,-,15,21
2022-01-15,36,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,44,30,21
2022-01-15,37,Whiskey And Rain,Michael Ray,57,37,14
2022-01-15,38,Beggin',Maneskin,-,13,25
2022-01-15,39,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,56,21,17
2022-01-15,40,One Mississippi,Kane Brown,60,40,15
2022-01-15,41,Montero (Call Me By Your Name),Lil Nas X,-,1,35
2022-01-15,42,Big Energy,Latto,62,42,11
2022-01-15,43,Sand In My Boots,Morgan Wallen,58,32,25
2022-01-15,44,Girls Want Girls,Drake Featuring Lil Baby,59,2,18
2022-01-15,45,Freedom Was A Highway,Jimmie Allen & Brad Paisley,73,45,13
2022-01-15,46,Pepas,Farruko,-,25,21
2022-01-15,47,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",61,17,13
2022-01-15,48,Enemy,Imagine Dragons X JID,64,48,7
